id,games,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points
3674,7.0,2.8000000000000003,0.0,2.1,9.799999999999999,2.8000000000000003,2.8000000000000003,7.700000000000001
3675,481.0,476.20000000000005,223.1,261.0,617.1999999999999,187.3,1226.1,3248.3
3676,394.0,423.8,168.5,80.4,527.5,124.2,536.6,2623.7
3677,963.0,4102.8,0.0,0.0,2580.4,0.0,0.0,14522.399999999998
3678,841.0,1080.6999999999998,873.3,213.90000000000003,1984.9,752.9,2160.1,6659.200000000001
3679,566.0,1692.6000000000001,592.1,109.60000000000001,1530.0,891.4000000000001,1796.5,8942.099999999999
3680,817.0,1827.3,237.2,32.2,1694.8,341.59999999999997,681.8000000000001,12382.699999999999
3681,279.0,1427.1,324.7,73.1,514.3,167.1,858.5999999999999,4669.000000000001
3682,23.0,16.099999999999998,0.0,0.0,11.5,0.0,0.0,73.60000000000001
3683,110.0,110.0,0.0,0.0,138.7,93.9,127.7,437.0
3684,52.0,15.2,0.0,0.0,78.6,0.0,0.0,282.0
3685,155.0,348.3,54.400000000000006,9.0,193.8,54.4,137.10000000000002,467.6
3686,28.0,58.800000000000004,16.8,0.0,28.0,8.4,19.599999999999998,84.0
3687,470.0,965.9999999999999,379.79999999999995,495.40000000000003,1286.3,732.8999999999999,2700.4,5626.8
3688,237.0,476.40000000000003,128.3,98.0,692.5,422.79999999999995,1231.6000000000001,2539.7
3689,189.0,127.0,57.8,105.3,338.0,213.7,375.3,788.3
3690,351.0,607.5,0.0,0.0,1334.3000000000002,0.0,0.0,5326.9
3691,380.0,984.9,0.0,0.0,1374.1999999999998,0.0,0.0,4494.2
3692,790.0,968.6,459.09999999999997,1007.3,2498.7999999999997,1272.5000000000002,2222.7000000000003,5421.1
3693,1133.0,2812.1999999999994,989.9000000000001,303.7,2140.5,547.7,2835.2000000000007,11389.099999999999
3694,17.0,3.4000000000000004,0.0,0.0,27.200000000000003,0.0,0.0,54.400000000000006
3695,39.0,12.400000000000002,2.3000000000000003,25.0,28.9,11.7,32.800000000000004,41.6
3696,47.0,3.9,3.4000000000000004,18.8,36.8,30.799999999999997,43.6,69.69999999999999
3697,40.0,3.0,7.6,22.6,22.4,23.8,32.599999999999994,36.8
3698,14.0,9.799999999999999,8.4,2.8000000000000003,19.599999999999998,2.8000000000000003,12.6,71.39999999999999
3699,252.0,176.20000000000002,98.3,128.4,484.6,157.79999999999998,511.09999999999997,1356.2
3700,72.0,24.1,9.8,30.299999999999997,91.30000000000001,81.0,161.3,141.0
3701,504.0,1159.7999999999997,437.2,830.2999999999998,1747.6000000000001,1315.9000000000003,3161.8000000000006,7792.2
3702,109.0,47.300000000000004,40.00000000000001,43.7,232.79999999999998,149.60000000000002,218.20000000000002,637.8000000000001
3703,67.0,89.69999999999999,28.6,0.0,45.2,9.9,25.400000000000002,39.5
3704,4.0,0.0,0.0,0.0,4.0,0.0,5.2,8.0
3705,115.0,118.7,59.5,9.200000000000001,157.7,78.5,164.70000000000002,613.6
